"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Regression","Жизненный цикл поста","Редактирование","0","0","1","0","0"
"Smoke","Администрирование","Дашборд","0","0","1","0","0"
"Smoke","Лента","Публикация поста","0","0","2","0","0"
"Regression","Жизненный цикл поста","Закладки","0","0","1","0","0"
"Smoke","Авторизация","Вход в систему","0","0","2","0","0"
"Regression","Жизненный цикл поста","Границы контента","0","0","1","0","0"
"E2E","Социальное взаимодействие","Пост → реакция → комментарий → уведомление","0","0","1","0","0"
"Smoke","Авторизация","Выход из системы","0","0","1","0","0"
"Smoke","Администрирование","Доступ к админ-панели","0","0","1","0","0"
"Smoke","Администрирование","Разграничение прав","0","0","1","0","0"
"Smoke","Лента","Взаимодействие с постом","0","0","1","0","0"
